Id,Soort,DocumentNummer,Titel,Onderwerp,Datum,Vergaderjaar,Kamer,Volgnummer,Citeertitel,Alias,DatumRegistratie,DatumOntvangst,Aanhangselnummer,KenmerkAfzender,Organisatie,ContentType,ContentLength,GewijzigdOp,ApiGewijzigdOp,Verwijderd,HuidigeDocumentVersie_Id
88fa70bf-c3e0-41d0-8d42-000044df3ecd,Verslag van een rapporteur,2018D03877,,Vierde voortgangsverslag Rapporteurschap Europese Kiesakte,2018-02-05T00:00:00+01:00,2017-2018,2,-1,,,2018-02-05T00:00:00+01:00,,,,Tweede Kamer,application/vnd.openxmlformats-officedocument.wordprocessingml.document,121937,2024-02-19T10:56:03.63+01:00,2024-02-24T06:09:51.1147183Z,False,43d43b78-240e-4e4c-97b3-8eecb4f8d20d
ec9315bf-e1d1-422e-a8fb-0000932ed927,Antwoord schriftelijke vragen,2019D16854,,Antwoord op vragen van het lid Van Nispen over het mogelijk strafrechtelijke karakter van het sluiten van drugspanden door de burgemeester ,2019-04-24T00:00:00+02:00,2018-2019,2,-1,,,2019-04-23T00:00:00+02:00,,181902411,,Tweede Kamer,application/pdf,32150,2024-02-19T10:56:03.63+01:00,2024-02-22T20:14:23.9728811Z,False,ffb35c1c-da22-45d4-919d-3fa9c400567f
b3eb0622-4769-4bd9-bb96-0000b9b06215,Mededeling (uitstel antwoord),2019D31935,,Uitstel beantwoording vragen van de leden Ploumen en Kerstens over het gebrekkige toezicht op de data van patiënten,2019-08-05T00:00:00+02:00,2018-2019,2,-1,,,2019-08-02T00:00:00+02:00,,181903569,,Tweede Kamer,application/pdf,25999,2024-02-19T10:56:03.63+01:00,2024-02-20T13:20:38.1591141Z,False,4a6b829e-89bf-4214-ac09-fdd53d2416f2
aeca2740-1abe-4acd-acb0-0000bb0e5797,Antwoord schriftelijke vragen,2012D06529,,"Antwoord vragen Bashir, Gesthuizen en Irrgang inzake het toezicht op goede doelen ",2012-02-16T00:00:00+01:00,2011-2012,2,-1,,,2012-02-15T00:00:00+01:00,,111201550,,Tweede Kamer,application/pdf,27659,2024-02-19T10:56:03.63+01:00,2024-02-22T20:38:05.3140522Z,False,d67f0b1b-0432-4fe5-ae9c-721c203c9258
5c345160-d91d-40a0-ad7d-0000cf59de18,Verslag van een algemeen overleg,2014D27578,Duurzame ontwikkeling en beleid,"Verslag van een algemeen overleg, gehouden op 1 juli 2014, over Energiebesparing ",2014-08-27T00:00:00+02:00,2013-2014,2,254,,,2014-07-28T00:00:00+02:00,,,,Tweede Kamer,application/pdf,68119,2024-02-19T10:56:03.63+01:00,2024-02-20T18:01:10.3293429Z,False,e71e9f0d-c468-429c-bbfa-19be637cee0b
1b151ae8-efec-4cf7-8eff-000158d8f032,Lijst van ingekomen stukken,2021D03442,,Lijst van ingekomen stukken,2021-01-27T00:00:00+01:00,2020-2021,2,-1,,,2021-01-27T11:48:48.943+01:00,,,,Tweede Kamer,application/pdf,42815,2024-02-19T10:56:03.63+01:00,2024-02-20T09:20:58.1645375Z,False,e6cce567-385d-436e-b5ee-5cb65683c5b3
8f57762d-cda7-4c2b-a6d4-00016dbd47e7,Convocatie commissieactiviteit,2024D40548,,"Convocatie inbreng schriftelijk overleg (v.s.o.) Aangescherpte conceptkerndoelen Nederlands, rekenen-wiskunde en eerste conceptexamenprogramma’s d.d. 6 november 2024",2024-10-24T00:00:00+02:00,2024-2025,2,-1,,,2024-10-24T13:03:27.303+02:00,,,,Tweede Kamer,application/pdf,73495,2024-10-24T13:52:04.813+02:00,2024-10-24T11:53:35.017964Z,False,b0b2196b-bcfd-46a8-8d9a-a2770411ae9f
8d3a1059-b759-4fdc-9f04-0001899df133,Bijlage,2022D25847,,Uitvoeringstoets Tijdelijke Tolheffing (RDW),2022-06-20T00:00:00+02:00,2021-2022,2,-1,,,2022-06-20T00:00:00+02:00,,,,Tweede Kamer,application/pdf,32262364,2024-02-19T10:56:03.63+01:00,2024-02-21T15:20:11.2616577Z,False,d4411c9f-e295-482e-8705-22cb75c4d344
44d06a64-bdfb-46f5-963a-00019dbf0bdd,Motie,2021D24080,"Jaarverslag en slotwet Ministerie van Onderwijs, Cultuur en Wetenschap 2020",Motie van de leden Paternotte en Van der Woude over hogescholen en universiteiten actief ondersteunen om studentenuitwisselingen zo veel mogelijk doorgang te laten vinden,2021-06-17T00:00:00+02:00,2020-2021,2,9,,,2021-06-17T00:00:00+02:00,,,,Tweede Kamer,application/pdf,21484,2024-02-19T10:56:03.63+01:00,2024-02-22T03:58:47.4519467Z,False,96e22fd3-3fb5-4aeb-94e2-04b54537f36f
e505ae2f-108b-4dd3-8773-0001a603a10b,Brief regering,2015D36061,Vaststelling van de begrotingsstaten van het Ministerie van Veiligheid en Justitie (VI) voor het jaar 2016,Gang van zaken rondom de publicatie van de foto van Volkert van der G. in De Telegraaf op 17 juni 2014,2015-09-29T00:00:00+02:00,2015-2016,2,10,,,2015-09-29T00:00:00+02:00,2015-09-30T00:00:00+02:00,,,Tweede Kamer,application/pdf,144546,2024-02-19T10:56:03.63+01:00,2024-02-23T19:46:56.712462Z,False,c660c889-974a-483c-b8d1-99593f33b30f
